,placeLabel,placeLabelE,heritage,longitude,latitude,UNESCO,image,wikicode,wiki_links,Nbwikis,LgWiki,LgWrdContent,NbPhotos,TotalWords
392,Borj El Kebir,Bordj el Kebir,1,11.076311,35.50526,0,http://commons.wikimedia.org/wiki/Special:FilePath/CourInterieureBorjElKebirMahdia.JPG,Q42762884,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%B1%D8%AC_%D8%A7%D9%84%D9%83%D8%A8%D9%8A%D8%B1_(%D8%A7%D9%84%D9%85%D9%87%D8%AF%D9%8A%D8%A9); https://commons.wikimedia.org/wiki/Category:Bordj_el_Kebir_fort_(Mahdia); https://fr.wikipedia.org/wiki/Borj_El_Kebir_(Mahdia),3.0,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%B1%D8%AC_%D8%A7%D9%84%D9%83%D8%A8%D9%8A%D8%B1_(%D8%A7%D9%84%D9%85%D9%87%D8%AF%D9%8A%D8%A9),63.0,4.0,39852.0
393,Skifa El Kahla,Skifa El Kahla,1,11.06859,35.50391,0,http://commons.wikimedia.org/wiki/Special:FilePath/Connjunt%20de%20la%20Skifa%20Kahla.jpg,Q11949952,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D9%82%D9%8A%D9%81%D8%A9_%D8%A7%D9%84%D9%83%D8%AD%D9%84%D8%A9; https://ca.wikipedia.org/wiki/Skifa_Kahla; https://commons.wikimedia.org/wiki/Category:Skifa_El_Kahla; https://en.wikipedia.org/wiki/Skifa_Kahla,4.0,https://ca.wikipedia.org/wiki/Skifa_Kahla,383.0,4.0,17673.0
394,Grande MosquÃ©e de Mahdia,Great Mosque of Mahdia,1,11.072054,35.503896,0,http://commons.wikimedia.org/wiki/Special:FilePath/VueGrandeMosqueMahdia.JPG,Q3609224,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9_%D8%A7%D9%84%D9%83%D8%A8%D9%8A%D8%B1_%D9%81%D9%8A_%D8%A7%D9%84%D9%85%D9%87%D8%AF%D9%8A%D8%A9; https://arz.wikipedia.org/wiki/%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9_%D8%A7%D9%84%D9%83%D8%A8%D9%8A%D8%B1_%D9%81%D9%89_%D8%A7%D9%84%D9%85%D9%87%D8%AF%D9%8A%D9%87; https://ca.wikipedia.org/wiki/Gran_Mesquita_de_Mahdia; https://commons.wikimedia.org/wiki/Category:Great_Mosque_of_Mahdia; https://en.wikipedia.org/wiki/Great_Mosque_of_Mahdiya; https://es.wikipedia.org/wiki/Gran_Mezquita_de_Mahd%C3%ADa; https://fr.wikipedia.org/wiki/Grande_Mosqu%C3%A9e_de_Mahdia; https://id.wikipedia.org/wiki/Masjid_Agung_Mahdiya; https://it.wikipedia.org/wiki/Grande_moschea_di_Mahdia; https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B0%D1%8F_%D0%BC%D0%B5%D1%87%D0%B5%D1%82%D1%8C_%D0%9C%D0%B0%D1%85%D0%B4%D0%B8%D0%B8; https://tr.wikipedia.org/wiki/Mehdiye_Ulu_Camii; https://uz.wikipedia.org/wiki/Katta_Mahdiy_masjidi,12.0,https://ca.wikipedia.org/wiki/Gran_Mesquita_de_Mahdia,487.0,6.0,25150.0
395,MusÃ©e de Mahdia,Mahdia Museum,0,11.0688,35.5038,0,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20de%20Mahdia.jpg,Q3329731,https://ar.wikipedia.org/wiki/%D9%85%D8%AA%D8%AD%D9%81_%D8%A7%D9%84%D9%85%D9%87%D8%AF%D9%8A%D8%A9; https://ca.wikipedia.org/wiki/Museu_de_Mahdia; https://commons.wikimedia.org/wiki/Category:Mahdia_Museum; https://en.wikipedia.org/wiki/Mahdia_Museum; https://es.wikipedia.org/wiki/Museo_de_Mahd%C3%ADa; https://fr.wikipedia.org/wiki/Mus%C3%A9e_de_Mahdia; https://ha.wikipedia.org/wiki/Gidan_Kayan_Tarihi_Na_Mahdia,7.0,https://ca.wikipedia.org/wiki/Museu_de_Mahdia,410.0,6.0,16881.0
396,Theveste,Theveste,0,8.11666667,35.4,0,http://commons.wikimedia.org/wiki/Special:FilePath/Arch%20of%20Caracalla.jpeg,Q12220954,https://ar.wikipedia.org/wiki/%D8%AA%D9%8A%D9%81%D8%B3%D8%AA; https://arz.wikipedia.org/wiki/%D8%AA%D9%8A%D9%81%D8%B3%D8%AA; https://en.wikipedia.org/wiki/Theveste; https://es.wikipedia.org/wiki/Theveste; https://it.wikipedia.org/wiki/Theveste; https://sw.wikipedia.org/wiki/Theveste; https://tr.wikipedia.org/wiki/Theveste,7.0,https://ar.wikipedia.org/wiki/%D8%AA%D9%8A%D9%81%D8%B3%D8%AA,235.0,2.0,5851.0
397,Arc de Caracalla,Arch of Caracalla,0,8.12281,35.4049,0,http://commons.wikimedia.org/wiki/Special:FilePath/T%C3%A9bessa-Porte%20Caracala.jpg,Q3621773,https://ar.wikipedia.org/wiki/%D9%82%D9%88%D8%B3_%D9%83%D8%A7%D8%B1%D8%A7%D9%83%D8%A7%D9%84%D8%A7_(%D8%AA%D8%A8%D8%B3%D8%A9); https://commons.wikimedia.org/wiki/Category:Arch_of_Caracalla_(T%C3%A9bessa); https://de.wikipedia.org/wiki/Caracallabogen_(Tebessa); https://en.wikipedia.org/wiki/Arch_of_Caracalla_(Thebeste); https://fa.wikipedia.org/wiki/%D8%B7%D8%A7%D9%82_%D9%86%D8%B5%D8%B1%D8%AA_%DA%A9%D8%A7%D8%B1%D8%A7%DA%A9%D8%A7%D9%84%D8%A7_(%D8%AA%D8%A8%D8%B3%D9%87); https://fr.wikipedia.org/wiki/Arc_de_Caracalla_(T%C3%A9bessa); https://it.wikipedia.org/wiki/Arco_di_Caracalla_(Theveste); https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BA%D0%B0_%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D0%B0%D0%BB%D0%BB%D1%8B_(%D0%A2%D0%B5%D0%B1%D0%B5%D1%81%D1%81%D0%B0),8.0,https://ar.wikipedia.org/wiki/%D9%82%D9%88%D8%B3_%D9%83%D8%A7%D8%B1%D8%A7%D9%83%D8%A7%D9%84%D8%A7_(%D8%AA%D8%A8%D8%B3%D8%A9),409.0,5.0,17290.0
398,Basilique Sainte-Crispine,Saint-Crispin Basilica,0,8.126916289,35.40910334,0,http://commons.wikimedia.org/wiki/Special:FilePath/Basilique%20de%20T%C3%A9bessa%20-%20%D8%A7%D9%84%D9%83%D9%86%D9%8A%D8%B3%D8%A9%20%D8%A7%D9%84%D8%B1%D9%88%D9%85%D8%A7%D9%86%D9%8A%D8%A9%203.jpg,Q102047587,,,,,,
399,MusÃ©e archÃ©ologique d'El Jem,El Djem Archaeological Museum,0,10.70472222,35.28972222,0,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Arch%C3%A9ologique%20El%20Djem.jpg,Q3329425,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D9%81_%D8%A7%D9%84%D8%A3%D8%AB%D8%B1%D9%8A_%D8%A8%D8%A7%D9%84%D8%AC%D9%85; https://ckb.wikipedia.org/wiki/%D9%85%DB%86%D8%B2%DB%95%D8%AE%D8%A7%D9%86%DB%95%DB%8C_%D8%B4%D9%88%DB%8E%D9%86%DB%95%D9%88%D8%A7%D8%B1%DB%8C_%D8%A6%DB%95%D9%84%D8%AC%DB%95%D9%85; https://commons.wikimedia.org/wiki/Category:El_Jem_Museum; https://en.wikipedia.org/wiki/El_Djem_Archaeological_Museum; https://es.wikipedia.org/wiki/Museo_Arqueol%C3%B3gico_de_El_Djem; https://fr.wikipedia.org/wiki/Mus%C3%A9e_arch%C3%A9ologique_d%27El_Jem,6.0,https://ckb.wikipedia.org/wiki/%D9%85%DB%86%D8%B2%DB%95%D8%AE%D8%A7%D9%86%DB%95%DB%8C_%D8%B4%D9%88%DB%8E%D9%86%DB%95%D9%88%D8%A7%D8%B1%DB%8C_%D8%A6%DB%95%D9%84%D8%AC%DB%95%D9%85,46.0,1.0,19039.0
400,MusÃ©e archÃ©ologique de Salakta,Salakta Archaeological Museum,0,11.048796,35.392388,0,http://commons.wikimedia.org/wiki/Special:FilePath/Tunisie%20Mus%C3%A9e%20Salakta.jpg,Q16978763,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D9%81_%D8%A7%D9%84%D8%A3%D8%AB%D8%B1%D9%8A_%D8%A8%D8%B3%D9%84%D9%82%D8%B7%D8%A9; https://ckb.wikipedia.org/wiki/%D9%85%DB%86%D8%B2%DB%95%D8%AE%D8%A7%D9%86%DB%95%DB%8C_%D8%B4%D9%88%DB%8E%D9%86%DB%95%D9%88%D8%A7%D8%B1%DB%8C_%D8%B3%DB%95%D9%84%D9%82%D8%AA%DB%95; https://commons.wikimedia.org/wiki/Category:Salakta_Archaeological_Museum; https://en.wikipedia.org/wiki/Salakta_Archaeological_Museum; https://fr.wikipedia.org/wiki/Mus%C3%A9e_arch%C3%A9ologique_de_Salakta,5.0,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D9%81_%D8%A7%D9%84%D8%A3%D8%AB%D8%B1%D9%8A_%D8%A8%D8%B3%D9%84%D9%82%D8%B7%D8%A9,52.0,3.0,38251.0
401,SbeÃ¯tla,Sufetula,1,9.120319444,35.24038056,0,http://commons.wikimedia.org/wiki/Special:FilePath/Sufeitula.png,Q1536583,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D9%88%D9%82%D8%B9_%D8%A7%D9%84%D8%A3%D8%AB%D8%B1%D9%8A_%D8%A8%D8%B3%D8%A8%D9%8A%D8%B7%D9%84%D8%A9; https://commons.wikimedia.org/wiki/Category:Archaeological_site_of_Sbeitla; https://de.wikipedia.org/wiki/Sufetula; https://en.wikipedia.org/wiki/Archaeological_site_of_Sbeitla; https://fr.wikipedia.org/wiki/Site_arch%C3%A9ologique_de_Sbe%C3%AFtla; https://it.wikipedia.org/wiki/Sufetula; https://nl.wikipedia.org/wiki/Sufetula_(nederzetting); https://pt.wikipedia.org/wiki/Suf%C3%A9tula,8.0,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D9%88%D9%82%D8%B9_%D8%A7%D9%84%D8%A3%D8%AB%D8%B1%D9%8A_%D8%A8%D8%B3%D8%A8%D9%8A%D8%B7%D9%84%D8%A9,103.0,17.0,5811.0
